지수명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
코스피 (외국주포함),,,,,,,325995.0,9720457.0,2281922612.0
코스피,2794.41,13.55,0.49,2797.14,2799.7,2774.71,325911.0,9756408.0,2280965478.0
코스피 200,383.23,2.03,0.53,383.18,383.48,379.89,116752.0,7631213.0,2008481039.0
코스피 100,2889.57,17.96,0.63,2886.67,2891.73,2863.34,88775.0,6534672.0,1823033204.0
코스피 50,2672.75,20.11,0.76,2666.49,2675.13,2646.05,55344.0,5213746.0,1569007801.0
코스피 200 중소형주,1350.33,-1.45,-0.11,1358.33,1359.82,1342.98,27977.0,1096541.0,185447834.0
코스피 200 초대형제외 지수,271.97,2.36,0.88,271.05,272.04,269.41,106161.0,6766855.0,1521346782.0
코스피200제외 코스피지수,3525.9,-21.94,-0.62,3560.07,3562.53,3518.92,198871.0,1933014.0,196783775.0
코스피 200 커뮤니케이션서비스,1613.96,2.88,0.18,1619.34,1629.42,1608.59,3293.0,240222.0,100400325.0
코스피 200 건설,299.15,0.42,0.14,300.12,301.99,297.42,2155.0,70533.0,41056551.0
코스피 200 중공업,440.08,-1.93,-0.44,443.89,444.67,434.11,13255.0,449521.0,92482722.0
코스피 200 철강/소재,818.89,7.27,0.9,820.56,829.18,814.26,1815.0,201738.0,55253272.0
코스피 200 에너지/화학,1214.35,8.88,0.74,1211.33,1227.96,1208.78,5561.0,468676.0,111900271.0
코스피 200 정보기술,3733.99,43.39,1.18,3711.32,3737.46,3658.24,23753.0,2276434.0,789773979.0
코스피 200 금융,844.91,14.88,1.79,834.74,866.77,832.38,21055.0,803527.0,210521324.0
코스피 200 생활소비재,859.85,-13.29,-1.52,874.68,874.68,853.48,8361.0,580450.0,85800775.0
코스피 200 경기소비재,1741.69,7.85,0.45,1748.58,1761.6,1731.85,9059.0,580212.0,177108880.0
코스피 200 산업재,669.52,10.29,1.56,670.07,678.74,666.94,25172.0,1652485.0,215590052.0
코스피 200 헬스케어,1764.82,-10.41,-0.59,1775.51,1778.39,1745.76,3273.0,307414.0,128592886.0
음식료품,4346.42,-58.86,-1.34,4418.1,4419.37,4297.46,7977.0,216754.0,30459061.0
섬유의복,231.67,-3.95,-1.68,236.35,236.35,230.69,2237.0,14218.0,5529449.0
종이목재,281.57,-2.32,-0.82,284.61,285.2,281.11,2007.0,5403.0,2504408.0
화학,4398.25,-8.97,-0.2,4433.06,4461.37,4380.52,16677.0,954735.0,147481373.0
의약품,13566.28,-72.93,-0.53,13568.01,13617.74,13381.72,11356.0,348663.0,127262565.0
비금속광물,4064.34,-11.12,-0.27,4078.45,4080.72,4059.52,3603.0,27362.0,8646628.0
철강금속,5017.07,35.43,0.71,5022.82,5088.79,5000.66,17962.0,234775.0,60474630.0
기계,1458.37,-9.24,-0.63,1470.22,1476.35,1443.9,19116.0,409112.0,57492502.0
전기전자,30542.72,260.0,0.86,30538.09,30585.6,30096.21,68538.0,3849833.0,954909389.0
의료정밀,1682.99,-40.5,-2.35,1731.11,1733.76,1661.85,4873.0,85946.0,4585099.0
운수장비,2756.57,4.35,0.16,2775.71,2788.61,2731.23,25224.0,914544.0,211179856.0
유통업,364.15,-0.44,-0.12,365.22,369.31,361.72,37671.0,281458.0,68061985.0
전기가스업,705.66,-5.99,-0.84,710.89,713.08,701.41,5358.0,211325.0,18604481.0
건설업,68.77,-0.17,-0.25,69.24,69.32,68.44,8471.0,108450.0,14046066.0
운수창고업,1759.67,10.81,0.62,1754.16,1802.38,1747.96,26447.0,333949.0,42451240.0
통신업,385.8,-0.45,-0.12,387.04,387.81,385.0,1641.0,31737.0,24938681.0
금융업,463.32,5.59,1.22,459.97,469.11,459.03,41020.0,1157179.0,331044112.0
증권,2061.41,37.84,1.87,2034.45,2087.76,2022.06,6079.0,78651.0,22973334.0
보험,21616.68,-51.91,-0.24,21655.59,21863.94,21526.79,8282.0,122199.0,55082504.0
서비스업,997.73,2.78,0.28,999.93,1005.72,994.42,16251.0,502013.0,155943903.0
제조업,7534.69,30.88,0.41,7553.01,7560.55,7462.31,181902.0,7088685.0,1625012888.0
코스피 대형주,2799.36,19.54,0.7,2797.16,2801.83,2775.96,88222.0,6627596.0,1842544439.0
코스피 중형주,3012.74,-12.68,-0.42,3040.15,3040.87,3004.47,73500.0,1797796.0,261126326.0
코스피 소형주,2343.12,-22.8,-0.96,2368.3,2370.11,2341.29,147613.0,832686.0,91063021.0
코스피 200 비중상한 30%,382.6,2.04,0.54,382.54,382.85,379.27,116752.0,7631213.0,2008481039.0
코스피 200 비중상한 25%,377.52,2.22,0.59,377.26,377.71,374.2,116752.0,7631213.0,2008481039.0
코스피 200 비중상한 20%,365.46,2.36,0.65,365.01,365.62,362.21,116752.0,7631213.0,2008481039.0
코스피 200 TOP 10,1365.48,13.52,1.0,1361.94,1370.68,1354.05,18109.0,2745030.0,1030412773.0
