종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
060310,3S,KOSDAQ,중견기업부,2865,55,1.96,2800,2870,2740,660637,1852347600,139057479330,48536642
095570,AJ네트웍스,KOSPI,,4470,-95,-2.08,4560,4560,4400,137549,616874930,202279832730,45252759
006840,AK홀딩스,KOSPI,,15910,-40,-0.25,16010,16010,15810,3975,63200330,210768695510,13247561
054620,APS,KOSDAQ,중견기업부,7050,120,1.73,6930,7200,6910,52439,370974000,143779258050,20394221
265520,AP시스템,KOSDAQ,우량기업부,21450,-400,-1.83,21650,21800,21300,59211,1269851450,327786480450,15281421
211270,AP위성,KOSDAQ,벤처기업부,16040,-60,-0.37,16120,16450,15830,264442,4289460280,241920156160,15082304
139050,BF랩스,KOSDAQ,벤처기업부,7400,60,0.82,7400,7450,7160,67053,488900790,63823719800,8624827
027410,BGF,KOSPI,,3820,15,0.39,3860,3860,3785,50617,192954145,365638141620,95716791
282330,BGF리테일,KOSPI,,128800,3900,3.12,125000,129700,122700,103025,13125704700,2226167092800,17283906
126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,4550,180,4.12,4420,4560,4385,151971,685418065,245851401250,54033275
138930,BNK금융지주,KOSPI,,7920,10,0.13,7850,7950,7850,922152,7298565160,2550940428960,322088438
001460,BYC,KOSPI,,474000,-16500,-3.36,482500,497500,473000,412,197463000,296067510000,624615
001465,BYC우,KOSPI,,168700,700,0.42,167100,170000,167100,306,51527900,36335449500,215385
013720,CBI,KOSDAQ,중견기업부,1690,6,0.36,1700,1748,1654,750256,1279071986,72389777720,42834188
083790,CG인바이츠,KOSDAQ,벤처기업부,3460,5,0.14,3600,3610,3390,381882,1327985270,266053869720,76894182
001040,CJ,KOSPI,,92800,-1700,-1.8,94600,95800,92600,103225,9640875400,2707625414400,29176998
079160,CJ CGV,KOSPI,,5710,70,1.24,5710,5850,5660,736477,4234830500,699085720750,122431825
035760,CJ ENM,KOSDAQ GLOBAL,우량기업부,74800,1500,2.05,72700,74900,72700,80633,5947784000,1640300719200,21929154
311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,14580,-170,-1.15,14650,14900,14450,6114,89250470,132860279160,9112502
00104K,CJ4우(전환),KOSPI,,72500,-1800,-2.42,74300,74500,72400,10268,750218900,306422120000,4226512
000120,CJ대한통운,KOSPI,,123200,-4400,-3.45,124300,126900,118800,245949,30132314000,2810480780800,22812344
011150,CJ씨푸드,KOSPI,,2735,20,0.74,2725,2745,2705,43878,119658065,98270664155,35930773
011155,CJ씨푸드1우,KOSPI,,20150,-300,-1.47,20000,20150,20000,446,8935700,4030000000,200000
001045,CJ우,KOSPI,,56700,100,0.18,56500,56900,56500,2742,155456600,128154644100,2260223
097950,CJ제일제당,KOSPI,,287500,0,0.0,287500,288000,284500,17193,4924786000,4328078475000,15054186
097955,CJ제일제당 우,KOSPI,,136800,1700,1.26,136100,136800,134600,2801,379943100,181592834400,1327433
051500,CJ프레시웨이,KOSDAQ,우량기업부,24000,-100,-0.41,24100,24200,23850,13351,320353750,284918064000,11871586
058820,CMG제약,KOSDAQ,중견기업부,2200,-25,-1.12,2215,2270,2190,561754,1245988800,305562936800,138892244
023460,CNH,KOSDAQ,중견기업부,1808,-7,-0.39,1813,1813,1774,5207,9327814,67257600000,37200000
056730,CNT85,KOSDAQ,중견기업부,1209,-13,-1.06,1222,1224,1207,5726,6946896,89600423874,74111186
000480,CR홀딩스,KOSPI,,6240,10,0.16,6150,6310,6140,15533,96635180,292596657600,46890490
065770,CS,KOSDAQ,벤처기업부,1218,3,0.25,1215,1249,1206,42133,51217834,23642756340,19411130
083660,CSA 코스믹,KOSDAQ,관리종목(소속부없음),1214,6,0.5,1208,1218,1195,10460,12636574,74354077734,61247181
000590,CS홀딩스,KOSPI,,64600,-100,-0.15,64400,65000,64000,564,36444100,74579537200,1154482
012030,DB,KOSPI,,1551,0,0.0,1551,1555,1532,198591,306758230,312020770083,201173933
456440,DB금융스팩11호,KOSDAQ,SPAC(소속부없음),2260,-5,-0.22,2270,2270,2215,4087,9180445,12011900000,5315000
016610,DB금융투자,KOSPI,,4500,0,0.0,4545,4550,4460,40776,183049180,191008750500,42446389
005830,DB손해보험,KOSPI,,96500,-700,-0.72,97200,97800,95900,191288,18470442600,6832200000000,70800000
000990,DB하이텍,KOSPI,,45100,-1050,-2.28,45600,45800,44950,232035,10484974300,2002376318800,44398588
139130,DGB금융지주,KOSPI,,9020,-90,-0.99,9010,9110,8990,380871,3441511770,1525695413660,169145833
060900,DGP,KOSDAQ,중견기업부,1660,-82,-4.71,1755,1790,1657,456365,774405694,41928660140,25258229
290120,DH오토리드,KOSDAQ,우량기업부,3385,105,3.2,3295,3425,3285,18660,62622330,52518742130,15515138
025440,DH오토웨어,KOSDAQ,중견기업부,1937,1,0.05,1960,2000,1931,18786,36524925,59623230888,30781224
001530,DI동일,KOSPI,,26600,-1850,-6.5,28300,28300,26150,210771,5703372300,658047903800,24738643
000210,DL,KOSPI,,45850,250,0.55,45200,46450,45050,37709,1734584250,960827281400,20955884
000215,DL우,KOSPI,,26300,-250,-0.94,26400,26500,25550,457,12015850,44344824500,1686115
375500,DL이앤씨,KOSPI,,33950,-1050,-3.0,35000,35000,33750,199654,6824271500,1313648500850,38693623
37550L,DL이앤씨2우(전환),KOSPI,,24500,150,0.62,24050,24500,24050,4040,98038900,51742799500,2111951
37550K,DL이앤씨우,KOSPI,,18870,-80,-0.42,18980,18980,18770,716,13454550,39889009950,2113885
068790,DMS,KOSDAQ,우량기업부,6870,10,0.15,6860,6910,6740,80888,553662200,168816929070,24573061
007340,DN오토모티브,KOSPI,,79900,-2100,-2.56,82500,82500,79400,28207,2260063800,798520999500,9994005
004840,DRB동일,KOSPI,,6360,-110,-1.7,6510,6690,6360,276253,1800934810,126754800000,19930000
241520,DSC인베스트먼트,KOSDAQ,중견기업부,4470,455,11.33,4350,4770,4145,14101790,62947902900,124316971410,27811403
155660,DSR,KOSPI,,4305,30,0.7,4250,4305,4240,4139,17703095,68880000000,16000000
069730,DSR제강,KOSPI,,4160,35,0.85,4095,4165,4080,18413,76317575,59904000000,14400000
017860,DS단석,KOSPI,,160800,-6000,-3.6,166800,166800,160600,51063,8263824000,942513763200,5861404
180400,DXVX,KOSDAQ,중견기업부,4175,-80,-1.88,4395,4395,4145,106964,455931280,126166128600,30219432
017940,E1,KOSPI,,65100,-600,-0.91,65500,65500,64600,21385,1390712800,446586000000,6860000
245620,EDGC,KOSDAQ,기술성장기업부,596,70,13.31,535,639,525,19283324,11537089244,72032883628,120860543
037370,EG,KOSDAQ,중견기업부,9660,-140,-1.43,9800,9950,9610,51018,496304690,83317229520,8624972
278990,EMB,KONEX,일반기업부,11600,-100,-0.85,11800,11800,11600,877,10258000,55192266400,4757954
365550,ESR켄달스퀘어리츠,KOSPI,,4220,20,0.48,4205,4245,4170,268380,1129750370,899235580000,213089000
050120,ES큐브,KOSDAQ,벤처기업부,2795,-75,-2.61,2800,2870,2735,17541,48929840,37911620370,13564086
383220,F&F,KOSPI,,68900,700,1.03,68200,70900,68000,104891,7297531200,2639357467500,38307075
007700,F&F홀딩스,KOSPI,,15670,-60,-0.38,15840,15840,15500,13220,206878060,612922130890,39114367
214270,FSN,KOSDAQ,중견기업부,2860,60,2.14,2775,3000,2745,1146026,3330574920,95096324180,33250463
130500,GH신소재,KOSDAQ,중견기업부,2820,85,3.11,2755,2830,2755,26447,74225295,41017046640,14545052
114090,GKL,KOSPI,,12280,0,0.0,12270,12340,12200,66268,813754240,759587627600,61855670
900290,GRT,KOSDAQ,외국기업(소속부없음),3495,115,3.4,3405,3605,3305,65826,230261260,235475625000,67375000
078930,GS,KOSPI,,48050,-650,-1.33,48250,48900,47800,94004,4538821750,4464583912900,92915378
083450,GST,KOSDAQ,우량기업부,45950,-2850,-5.84,45850,47100,44650,979162,44701018250,428150382750,9317745
006360,GS건설,KOSPI,,15110,-340,-2.2,15400,15510,15090,440340,6703934670,1293136313900,85581490
001250,GS글로벌,KOSPI,,2670,-70,-2.55,2835,2880,2670,2673278,7375887705,220365149880,82533764
007070,GS리테일,KOSPI,,21700,-50,-0.23,21750,21800,21500,103623,2247088850,2272378907400,104717922
078935,GS우,KOSPI,,38550,-350,-0.9,38900,38950,38300,6731,259782400,68805042300,1784826
297890,HB솔루션,KOSDAQ,우량기업부,4290,-50,-1.15,4245,4360,4215,900178,3868959355,313660424220,73114318
440290,HB인베스트먼트,KOSDAQ,중견기업부,3210,100,3.22,3115,3270,3080,235506,752387475,86243102100,26867010
078150,HB테크놀러지,KOSDAQ,우량기업부,2165,-25,-1.14,2160,2170,2145,744501,1604933010,200729958140,92715916
012630,HDC,KOSPI,,7790,-10,-0.13,7800,7830,7650,124601,961508190,465388006590,59741721
039570,HDC랩스,KOSPI,,8150,30,0.37,8040,8190,8040,11139,90838890,211554448150,25957601
089470,HDC현대EP,KOSPI,,4660,-95,-2.0,4750,4755,4620,113309,528114905,148654000000,31900000
294870,HDC현대산업개발,KOSPI,,18080,-470,-2.53,18530,18530,17960,269679,4873509030,1191604526400,65907330
009540,HD한국조선해양,KOSPI,,114100,1900,1.69,111000,116200,111000,132256,15131067500,8075212535600,70773116
267250,HD현대,KOSPI,,68400,-600,-0.87,68400,68900,67800,160728,10965248600,5403127014000,78993085
267270,HD현대건설기계,KOSPI,,51100,-1800,-3.4,52600,52900,50900,273715,14137235600,1006710522300,19700793
322000,HD현대에너지솔루션,KOSPI,,22300,200,0.9,22100,22350,22000,22899,508653000,249760000000,11200000
042670,HD현대인프라코어,KOSPI,,7970,-330,-3.98,8350,8360,7910,2787374,22621143600,1590839520410,199603453
267260,HD현대일렉트릭,KOSPI,,132000,2600,2.01,127400,134000,126800,240380,31685321300,4758221820000,36047135
329180,HD현대중공업,KOSPI,,113200,2300,2.07,110700,115900,110200,129209,14674712000,10049116731200,88773116
097230,HJ중공업,KOSPI,,3470,85,2.51,3410,3485,3360,28412,97888185,288961755070,83274281
195940,HK이노엔,KOSDAQ GLOBAL,중견기업부,36350,-950,-2.55,37450,37850,36250,183733,6745033100,1029791537850,28329891
014790,HL D&I,KOSPI,,2010,-5,-0.25,2015,2100,1994,40152,80453205,76095788010,37858601
028300,HLB,KOSDAQ,중견기업부,100600,2600,2.65,98700,101800,95200,5340908,529225817700,13159691324600,130812041
003580,HLB글로벌,KOSPI,,6620,80,1.22,6850,6880,6410,1792480,11658742580,294743345680,44523164
278650,HLB바이오스텝,KOSDAQ,중견기업부,3870,80,2.11,3960,3990,3795,7698999,30024613355,330683717430,85447989
343090,HLB사이언스,KONEX,일반기업부,2530,25,1.0,2415,2700,2310,25728,64540265,41439899710,16379407
067630,HLB생명과학,KOSDAQ,중견기업부,16240,880,5.73,15990,16430,15390,5358024,85782357710,1711134502000,105365425
024850,HLB이노베이션,KOSDAQ,중견기업부,3940,100,2.6,3860,3975,3685,2079537,7962995285,268553733240,68160846
047920,HLB제약,KOSDAQ,기술성장기업부,26200,3300,14.41,23550,26900,23200,5802969,148835856650,829015736400,31641822
115450,HLB테라퓨틱스,KOSDAQ,중견기업부,9120,970,11.9,8300,9300,8110,5315213,46549770820,687220919520,75353171
046210,HLB파나진,KOSDAQ,벤처기업부,4690,0,0.0,4740,4765,4570,1240605,5830846630,192311231630,41004527
204320,HL만도,KOSPI,,32800,-350,-1.06,33050,33200,32750,148408,4887142500,1540193536000,46957120
060980,HL홀딩스,KOSPI,,34600,100,0.29,34500,34700,34450,5868,202839600,351861586000,10169410
011200,HMM,KOSPI,,16620,-330,-1.95,16900,16980,16610,1500638,25051041770,11451836423520,689039496
403870,HPSP,KOSDAQ,벤처기업부,53900,-900,-1.64,52100,54400,52000,1189129,63383878500,4470150361600,82934144
036640,HRS,KOSDAQ,우량기업부,5630,120,2.18,5520,5630,5450,87432,486502500,92077524000,16354800
082740,HSD엔진,KOSPI,,9200,300,3.37,8810,9210,8770,537116,4877090480,658204744800,71543994
035000,HS애드,KOSPI,,6300,10,0.16,6300,6300,6260,3720,23336100,104374676700,16567409
